"","doc_id","sentence_id","subject","predicate","object","triple_type","file"
"1","data_raw/portal/gsp_num_id_0007.pdf101",1,"4.2 Indicators AWD","will monitor","groundwater conditions","direct","unfiltered_dependency_edgelist_0007.RDS"
"2","data_raw/portal/gsp_num_id_0007.pdf101",1,"that","correspond with","sustainability indicators","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"3","data_raw/portal/gsp_num_id_0007.pdf101",2,"SMCs","were developed for","each indicator","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"4","data_raw/portal/gsp_num_id_0007.pdf101",2,"undesirable results","would be avoided at","which","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"5","data_raw/portal/gsp_num_id_0007.pdf101",3,"which groundwater","is in","a sustainable condition","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"6","data_raw/portal/gsp_num_id_0007.pdf101",4,"Exceedances","do not signify","unsustainable conditions","direct","unfiltered_dependency_edgelist_0007.RDS"
"7","data_raw/portal/gsp_num_id_0007.pdf101",5,"they","may initiate","additional investigations","direct","unfiltered_dependency_edgelist_0007.RDS"
"8","data_raw/portal/gsp_num_id_0007.pdf101",5,"significant effects","are being experienced as","a result","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"9","data_raw/portal/gsp_num_id_0007.pdf101",6,"the thresholds","will require","reevaluation","direct","unfiltered_dependency_edgelist_0007.RDS"
"10","data_raw/portal/gsp_num_id_0007.pdf101",7,"AWD","will use","adaptive management","direct","unfiltered_dependency_edgelist_0007.RDS"
"11","data_raw/portal/gsp_num_id_0007.pdf101",7,"which","may result in","undesirable results","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"12","data_raw/portal/gsp_num_id_0007.pdf101",8,"a threshold","exceeds","the minimum value","direct","unfiltered_dependency_edgelist_0007.RDS"
"13","data_raw/portal/gsp_num_id_0007.pdf101",8,"a threshold","exceeds for","any length","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"14","data_raw/portal/gsp_num_id_0007.pdf101",8,"SMCs","may be reconsidered For","example","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"15","data_raw/portal/gsp_num_id_0007.pdf101",11,"This","allows for","local control","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"16","data_raw/portal/gsp_num_id_0007.pdf101",11,"what","would impact","beneficial users","direct","unfiltered_dependency_edgelist_0007.RDS"
"17","data_raw/portal/gsp_num_id_0007.pdf101",11,"what","would impact within","their boundaries","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"18","data_raw/portal/gsp_num_id_0007.pdf101",12,"undesirable results","were refined Due","the broad definition","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"19","data_raw/portal/gsp_num_id_0007.pdf101",12,"undesirable results","were refined at","the subbasin level","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"20","data_raw/portal/gsp_num_id_0007.pdf102",5,"Aliso WD","to apply to","local","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"21","data_raw/portal/gsp_num_id_0007.pdf102",5,"Aliso WD","to apply to","conditions","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"22","data_raw/portal/gsp_num_id_0007.pdf102",6,"Refinement Process","are provided in","Section 10721","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"23","data_raw/portal/gsp_num_id_0007.pdf102",8,"reductions","are offset during","other periods","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"24","data_raw/portal/gsp_num_id_0007.pdf102",11,"that","impair","water supplies","direct","unfiltered_dependency_edgelist_0007.RDS"
"25","data_raw/portal/gsp_num_id_0007.pdf102",12,"that","interferes with","uses","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"26","data_raw/portal/gsp_num_id_0007.pdf103",3,"Undesirable Results","will be discussed in","greater detail","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"27","data_raw/portal/gsp_num_id_0007.pdf103",3,"Undesirable Results","will be discussed in","the following sections","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"28","data_raw/portal/gsp_num_id_0007.pdf103",5,"Each Agency","shall describe","the processes","direct","unfiltered_dependency_edgelist_0007.RDS"
"29","data_raw/portal/gsp_num_id_0007.pdf103",5,"Each Agency","shall describe in","its Plan","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"30","data_raw/portal/gsp_num_id_0007.pdf103",8,"sustainability indicators","become at","which","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"31","data_raw/portal/gsp_num_id_0007.pdf103",9,"a broad definition","was developed Because","the dynamic nature","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"32","data_raw/portal/gsp_num_id_0007.pdf103",10,"The DMGB","has defined","Undesirable Results","direct","unfiltered_dependency_edgelist_0007.RDS"
"33","data_raw/portal/gsp_num_id_0007.pdf103",10,"The DMGB","has defined as","Groundwater Levels","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"34","data_raw/portal/gsp_num_id_0007.pdf103",10,"The DMGB","has defined as","Significant chronic decrease","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"35","data_raw/portal/gsp_num_id_0007.pdf103",10,"that","has","an impact","direct","unfiltered_dependency_edgelist_0007.RDS"
"36","data_raw/portal/gsp_num_id_0007.pdf103",16,"that","cause","damage","direct","unfiltered_dependency_edgelist_0007.RDS"
"37","data_raw/portal/gsp_num_id_0007.pdf103",16,"that","would cause","significant reductions","direct","unfiltered_dependency_edgelist_0007.RDS"
"38","data_raw/portal/gsp_num_id_0007.pdf103",16,"that","threaten","public health","direct","unfiltered_dependency_edgelist_0007.RDS"
"39","data_raw/portal/gsp_num_id_0007.pdf104",3,"that","has","an impact","direct","unfiltered_dependency_edgelist_0007.RDS"
"40","data_raw/portal/gsp_num_id_0007.pdf104",4,"More detailed definitions","were developed at","the area level","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"41","data_raw/portal/gsp_num_id_0007.pdf104",5,"definitions","were shared After","development","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"42","data_raw/portal/gsp_num_id_0007.pdf104",5,"definitions","were shared among","the DMGB committee members","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"43","data_raw/portal/gsp_num_id_0007.pdf104",7,"District The District","introduced","stakeholders","direct","unfiltered_dependency_edgelist_0007.RDS"
"44","data_raw/portal/gsp_num_id_0007.pdf104",7,"District The District","introduced to","Sustainable Management Criteria","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"45","data_raw/portal/gsp_num_id_0007.pdf104",7,"District The District","introduced at","a scheduled meeting","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"46","data_raw/portal/gsp_num_id_0007.pdf104",9,"The Board","requested","input","direct","unfiltered_dependency_edgelist_0007.RDS"
"47","data_raw/portal/gsp_num_id_0007.pdf104",9,"minimum threshold exceedances","translate into","undesirable results","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"48","data_raw/portal/gsp_num_id_0007.pdf104",10,"The District","conducted","two workshops","direct","unfiltered_dependency_edgelist_0007.RDS"
"49","data_raw/portal/gsp_num_id_0007.pdf104",14,"The second workshop","requested","input","direct","unfiltered_dependency_edgelist_0007.RDS"
"50","data_raw/portal/gsp_num_id_0007.pdf104",16,"AWD","discussed","undesirable results","direct","unfiltered_dependency_edgelist_0007.RDS"
"51","data_raw/portal/gsp_num_id_0007.pdf104",16,"AWD","discussed at","their noticed quarterly board meetings","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"52","data_raw/portal/gsp_num_id_0007.pdf104",18,"significant changes","will occur as","a result","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"53","data_raw/portal/gsp_num_id_0007.pdf104",21,"AWD","shows","significant resiliency","direct","unfiltered_dependency_edgelist_0007.RDS"
"54","data_raw/portal/gsp_num_id_0007.pdf104",21,"AWD","shows to","the effects","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"55","data_raw/portal/gsp_num_id_0007.pdf105",4,"The landowners","can tolerate","modest costs","direct","unfiltered_dependency_edgelist_0007.RDS"
"56","data_raw/portal/gsp_num_id_0007.pdf105",10,"subsidence","affects","the District","direct","unfiltered_dependency_edgelist_0007.RDS"
"57","data_raw/portal/gsp_num_id_0007.pdf105",11,"Environmental tolerances","have been considered in","depth","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"58","data_raw/portal/gsp_num_id_0007.pdf105",12,"The development","take","the environmental tolerances","direct","unfiltered_dependency_edgelist_0007.RDS"
"59","data_raw/portal/gsp_num_id_0007.pdf105",12,"The development","take into","consideration","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"60","data_raw/portal/gsp_num_id_0007.pdf105",13,"These conclusions","laid","the foundation","direct","unfiltered_dependency_edgelist_0007.RDS"
"61","data_raw/portal/gsp_num_id_0007.pdf105",14,"Section 4.3.3","provides","a full description","direct","unfiltered_dependency_edgelist_0007.RDS"
"62","data_raw/portal/gsp_num_id_0007.pdf105",16,"The description","shall include","the following","direct","unfiltered_dependency_edgelist_0007.RDS"
"63","data_raw/portal/gsp_num_id_0007.pdf105",19,"it","was determined As","a result","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"64","data_raw/portal/gsp_num_id_0007.pdf105",20,"the following unforeseen changes","may impact","groundwater conditions","direct","unfiltered_dependency_edgelist_0007.RDS"
"65","data_raw/portal/gsp_num_id_0007.pdf105",20,"the environment","may impact","groundwater conditions","direct","unfiltered_dependency_edgelist_0007.RDS"
"66","data_raw/portal/gsp_num_id_0007.pdf105",22,"warmer conditions","could lead to","more rain","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"67","data_raw/portal/gsp_num_id_0007.pdf105",23,"This","would lead to","more runoff","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"68","data_raw/portal/gsp_num_id_0007.pdf105",26,"increased temperatures","could result in","evapotranspiration rates","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"69","data_raw/portal/gsp_num_id_0007.pdf105",26,"which","would increase","demand","direct","unfiltered_dependency_edgelist_0007.RDS"
"70","data_raw/portal/gsp_num_id_0007.pdf105",27,"c.","suggest","more variability","direct","unfiltered_dependency_edgelist_0007.RDS"
"71","data_raw/portal/gsp_num_id_0007.pdf105",27,"Some studies","suggest","more variability","direct","unfiltered_dependency_edgelist_0007.RDS"
"72","data_raw/portal/gsp_num_id_0007.pdf105",27,"which","could lead to","flooding","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"73","data_raw/portal/gsp_num_id_0007.pdf105",31,"A change","would increase","demand","direct","unfiltered_dependency_edgelist_0007.RDS"
"74","data_raw/portal/gsp_num_id_0007.pdf105",34,"AWD","relies on","groundwater","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"75","data_raw/portal/gsp_num_id_0007.pdf105",37,"The accumulated effects","could lead to","higher concentrations","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"76","data_raw/portal/gsp_num_id_0007.pdf106",3,"The description","shall include","the following","direct","unfiltered_dependency_edgelist_0007.RDS"
"77","data_raw/portal/gsp_num_id_0007.pdf106",5,"The criteria","shall be based on","a description","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"78","data_raw/portal/gsp_num_id_0007.pdf106",5,"that","cause","significant effects","direct","unfiltered_dependency_edgelist_0007.RDS"
"79","data_raw/portal/gsp_num_id_0007.pdf106",6,"groundwater levels","will be used as","a proxy","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"80","data_raw/portal/gsp_num_id_0007.pdf106",7,"levels","were dropping at","a rate","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"81","data_raw/portal/gsp_num_id_0007.pdf106",9,"The significant","would be","the depletion","direct","unfiltered_dependency_edgelist_0007.RDS"
"82","data_raw/portal/gsp_num_id_0007.pdf106",9,"which","would cause","accelerated rates","direct","unfiltered_dependency_edgelist_0007.RDS"
"83","data_raw/portal/gsp_num_id_0007.pdf106",9,"which","would cause over","a series","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"84","data_raw/portal/gsp_num_id_0007.pdf106",11,"the sustainable management criteria","reflect","thresholds","direct","unfiltered_dependency_edgelist_0007.RDS"
"85","data_raw/portal/gsp_num_id_0007.pdf106",11,"that","would cause","increased reliance","direct","unfiltered_dependency_edgelist_0007.RDS"
"86","data_raw/portal/gsp_num_id_0007.pdf106",13,"The effects","are described in","more detail","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"87","data_raw/portal/gsp_num_id_0007.pdf106",14,"Accelerated rates","may result from","significant depletion","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"88","data_raw/portal/gsp_num_id_0007.pdf106",15,"the undesirable result","must be","pervasive","direct","unfiltered_dependency_edgelist_0007.RDS"
"89","data_raw/portal/gsp_num_id_0007.pdf106",16,"30 %","exceed","minimum threshold values","direct","unfiltered_dependency_edgelist_0007.RDS"
"90","data_raw/portal/gsp_num_id_0007.pdf106",16,"30 %","exceed for","4 consecutive years","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"91","data_raw/portal/gsp_num_id_0007.pdf106",17,"The year return period","coincides","the average return period","direct","unfiltered_dependency_edgelist_0007.RDS"
"92","data_raw/portal/gsp_num_id_0007.pdf106",17,"which","allows for","natural replenishment","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"93","data_raw/portal/gsp_num_id_0007.pdf106",23,"Projections","indicate","little change","direct","unfiltered_dependency_edgelist_0007.RDS"
"94","data_raw/portal/gsp_num_id_0007.pdf106",23,"Projections","indicate through","2040","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"95","data_raw/portal/gsp_num_id_0007.pdf106",24,"A proposed Group pumping program","has","the potential","direct","unfiltered_dependency_edgelist_0007.RDS"
"96","data_raw/portal/gsp_num_id_0007.pdf106",24,"that","would flow to","AWD GSA","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"97","data_raw/portal/gsp_num_id_0007.pdf106",25,"The significant","would be","severe economic hardship","direct","unfiltered_dependency_edgelist_0007.RDS"
"98","data_raw/portal/gsp_num_id_0007.pdf106",25,"The significant","would be due","a loss","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"99","data_raw/portal/gsp_num_id_0007.pdf107",2,"significant effects","would occur At","this time","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"100","data_raw/portal/gsp_num_id_0007.pdf107",2,"constituents","exceed","concentrations","direct","unfiltered_dependency_edgelist_0007.RDS"
"101","data_raw/portal/gsp_num_id_0007.pdf107",3,"Irreversible economic hardship","may occur in","the District","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"102","data_raw/portal/gsp_num_id_0007.pdf107",3,"that","might reduce","crop production","direct","unfiltered_dependency_edgelist_0007.RDS"
"103","data_raw/portal/gsp_num_id_0007.pdf107",3,"that","might reduce by","50 %","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"104","data_raw/portal/gsp_num_id_0007.pdf107",4,"30 %","exceed","the minimum threshold value","direct","unfiltered_dependency_edgelist_0007.RDS"
"105","data_raw/portal/gsp_num_id_0007.pdf107",4,"30 %","exceed for","4 consecutive years","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"106","data_raw/portal/gsp_num_id_0007.pdf107",5,"The monitoring window","coincides with","average return period","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"107","data_raw/portal/gsp_num_id_0007.pdf107",5,"which","allows for","natural replenishment","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"108","data_raw/portal/gsp_num_id_0007.pdf107",7,"Subsidence Changes","were analyzed between","2012 2018","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"109","data_raw/portal/gsp_num_id_0007.pdf107",7,"Subsidence Changes","were analyzed due","limited previous subsidence monitoring","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"110","data_raw/portal/gsp_num_id_0007.pdf107",8,"AWD","is subsiding at","an average rate","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"111","data_raw/portal/gsp_num_id_0007.pdf107",11,"The","would be","an accelerated rate","direct","unfiltered_dependency_edgelist_0007.RDS"
"112","data_raw/portal/gsp_num_id_0007.pdf107",13,"the levees","have subsided to","an elevation","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"113","data_raw/portal/gsp_num_id_0007.pdf107",13,"that","diminishes","the carrying capacity","direct","unfiltered_dependency_edgelist_0007.RDS"
"114","data_raw/portal/gsp_num_id_0007.pdf107",13,"that","diminishes beyond","their flow rates","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"115","data_raw/portal/gsp_num_id_0007.pdf107",13,"this","could cause","significant flooding","direct","unfiltered_dependency_edgelist_0007.RDS"
"116","data_raw/portal/gsp_num_id_0007.pdf107",15,"average rates","accelerate during","any consecutive year period","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"117","data_raw/portal/gsp_num_id_0007.pdf107",17,"Undesirable Results","have not been defined for","interconnected surface waters","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"118","data_raw/portal/gsp_num_id_0007.pdf107",17,"wells","do not have","the ability","direct","unfiltered_dependency_edgelist_0007.RDS"
"119","data_raw/portal/gsp_num_id_0007.pdf107",19,"wells","must be sealed For","example","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"120","data_raw/portal/gsp_num_id_0007.pdf107",19,"wells","must be sealed below","a significant clay","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"121","data_raw/portal/gsp_num_id_0007.pdf107",21,"AWD GSA","will participate in","Inter-","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"122","data_raw/portal/gsp_num_id_0007.pdf107",21,"which","may result in","defined results","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"123","data_raw/portal/gsp_num_id_0007.pdf107",23,"4.3.4 Exceedance Response","should be identified in","a representative","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"124","data_raw/portal/gsp_num_id_0007.pdf107",23,"any threshold exceedance","should be identified in","a representative","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"125","data_raw/portal/gsp_num_id_0007.pdf108",3,"that","experienced","a threshold exceedance","direct","unfiltered_dependency_edgelist_0007.RDS"
"126","data_raw/portal/gsp_num_id_0007.pdf108",5,"an exceedance","is determined for","water levels","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"127","data_raw/portal/gsp_num_id_0007.pdf108",6,"Figure 4","shows","the flow chart","direct","unfiltered_dependency_edgelist_0007.RDS"
"128","data_raw/portal/gsp_num_id_0007.pdf108",8,"The description","shall include","the following","direct","unfiltered_dependency_edgelist_0007.RDS"
"129","data_raw/portal/gsp_num_id_0007.pdf108",12,"Impacted water quality","causing","loss","direct","unfiltered_dependency_edgelist_0007.RDS"
"130","data_raw/portal/gsp_num_id_0007.pdf108",12,"Impacted water quality","causing","Excessive flooding","direct","unfiltered_dependency_edgelist_0007.RDS"
"131","data_raw/portal/gsp_num_id_0007.pdf108",13,"attendees","stated at","the stakeholder workshop","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"132","data_raw/portal/gsp_num_id_0007.pdf108",13,"they","have experienced","significant impacts","direct","unfiltered_dependency_edgelist_0007.RDS"
"133","data_raw/portal/gsp_num_id_0007.pdf108",13,"they","have experienced in","the past","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"134","data_raw/portal/gsp_num_id_0007.pdf108",13,"that","were beyond","reasonable mitigation measures","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"135","data_raw/portal/gsp_num_id_0007.pdf108",14,"that","occurred in","1997","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"136","data_raw/portal/gsp_num_id_0007.pdf109",1,"Effects","were considered during","the development","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"137","data_raw/portal/gsp_num_id_0007.pdf109",1,"that","could lead to","undesirable results","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"138","data_raw/portal/gsp_num_id_0007.pdf109",2,"The SJRRP","monitors","conditions","direct","unfiltered_dependency_edgelist_0007.RDS"
"139","data_raw/portal/gsp_num_id_0007.pdf109",3,"The SJRRP","is discussed in","greater detail","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"140","data_raw/portal/gsp_num_id_0007.pdf109",3,"The SJRRP","is discussed in","Chapter 2","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"141","data_raw/portal/gsp_num_id_0007.pdf109",10,"some neighboring agencies","are experiencing","undesirable results","direct","unfiltered_dependency_edgelist_0007.RDS"
"142","data_raw/portal/gsp_num_id_0007.pdf109",10,"some neighboring agencies","are experiencing in","their GSAs","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"143","data_raw/portal/gsp_num_id_0007.pdf109",11,"Several agencies","are experiencing","damage","direct","unfiltered_dependency_edgelist_0007.RDS"
"144","data_raw/portal/gsp_num_id_0007.pdf109",11,"Several agencies","are experiencing as","a result","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"145","data_raw/portal/gsp_num_id_0007.pdf109",15,"an undesirable result","is occurring in","the basin","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"146","data_raw/portal/gsp_num_id_0007.pdf109",16,"undesirable results","are occurring","that","direct","unfiltered_dependency_edgelist_0007.RDS"
"147","data_raw/portal/gsp_num_id_0007.pdf109",16,"The determination","may depend upon","measurements","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"148","data_raw/portal/gsp_num_id_0007.pdf109",17,"Subsidence","has been defined as","the limiting factor","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"149","data_raw/portal/gsp_num_id_0007.pdf109",17,"Subsidence","has been defined with","regard","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"150","data_raw/portal/gsp_num_id_0007.pdf109",18,"changes","are used as","indicators","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"151","data_raw/portal/gsp_num_id_0007.pdf109",22,"AWD","will analyze","trends","direct","unfiltered_dependency_edgelist_0007.RDS"
"152","data_raw/portal/gsp_num_id_0007.pdf110",5,"Interconnected Surface Water Landowners","can not deplete","interconnected surface waters","direct","unfiltered_dependency_edgelist_0007.RDS"
"153","data_raw/portal/gsp_num_id_0007.pdf110",5,"Interconnected Surface Water Landowners","can not deplete due","Contract","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"154","data_raw/portal/gsp_num_id_0007.pdf110",5,"that","restrict","well design","direct","unfiltered_dependency_edgelist_0007.RDS"
"155","data_raw/portal/gsp_num_id_0007.pdf110",5,"production","occurs in","which","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"156","data_raw/portal/gsp_num_id_0007.pdf110",6,"Groundwater extraction","must occur below","the semi - confining clay layer","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"157","data_raw/portal/gsp_num_id_0007.pdf110",6,"Groundwater extraction","must occur in","order","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"158","data_raw/portal/gsp_num_id_0007.pdf110",7,"Chapter 2","contains","more detail","direct","unfiltered_dependency_edgelist_0007.RDS"
"159","data_raw/portal/gsp_num_id_0007.pdf110",9,"Intrusion AWD","is located from","the Pacific Ocean","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"160","data_raw/portal/gsp_num_id_0007.pdf110",13,"Each Agency","shall establish","minimum thresholds","direct","unfiltered_dependency_edgelist_0007.RDS"
"161","data_raw/portal/gsp_num_id_0007.pdf110",13,"that","quantify","groundwater conditions","direct","unfiltered_dependency_edgelist_0007.RDS"
"162","data_raw/portal/gsp_num_id_0007.pdf110",13,"that","quantify","each applicable sustainability indicator","direct","unfiltered_dependency_edgelist_0007.RDS"
"163","data_raw/portal/gsp_num_id_0007.pdf110",14,"The numeric value","shall represent","a point","direct","unfiltered_dependency_edgelist_0007.RDS"
"164","data_raw/portal/gsp_num_id_0007.pdf110",14,"The numeric value","shall represent","the basin","direct","unfiltered_dependency_edgelist_0007.RDS"
